CULTIVO,DAÑO,DESPUES,ANTES
TRIGO,44.4,0.22642429397965483,0.33963644096948226
TRIGO,23.4,0.19490123590562494,0.2923518538584374
TRIGO,32.2,0.22636915518809608,0.3395537327821441
TRIGO,72.3,0.2074832240028795,0.31122483600431927
TRIGO,67.7,0.3090724023898176,0.4636086035847264
TRIGO,43.9,0.22642429397965483,0.33963644096948226
TRIGO,39.2,0.2295341177131859,0.3443011765697789
TRIGO,44.8,0.26667137213548586,0.4000070582032288
TRIGO,38.5,0.3380450347121579,0.5070675520682368
TRIGO,24.1,0.32069955259890887,0.48104932889836327
TRIGO,51.6,0.30307163203887644,0.45460744805831466
TRIGO,67.8,0.2925108308960633,0.4387662463440949
TRIGO,72.8,0.302156355378266,0.453234533067399
TRIGO,47.0,0.3138922326005056,0.4708383489007584
TRIGO,26.9,0.2686477359295728,0.4029716038943592
TRIGO,29.4,0.3305778661396249,0.4958667992094374
TRIGO,36.8,0.33934125232349904,0.5090118784852485
TRIGO,85.8,0.2019936391247308,0.30299045868709623
TRIGO,78.7,0.18376427309583482,0.2756464096437522
TRIGO,67.5,0.1795305769962453,0.26929586549436796
TRIGO,96.7,0.1714990576541909,0.25724858648128635
TRIGO,98.7,0.2228878657243484,0.3343317985865226
TRIGO,31.6,0.27087802273749556,0.4063170341062433
TRIGO,44.0,0.25039754962306143,0.3755963244345921
TRIGO,56.6,0.3186174560534377,0.4779261840801566
TRIGO,100.0,0.2797092945975976,0.41956394189639634
TRIGO,80.5,0.3079252908443322,0.46188793626649827
TRIGO,75.2,0.22094015626705,0.331410234400575
TRIGO,100.0,0.2274204859922247,0.3411307289883371
TRIGO,70.8,0.24536105894332777,0.3680415884149917
TRIGO,30.3,0.1845986135625695,0.2768979203438543
TRIGO,24.0,0.17151399198261574,0.2572709879739236
TRIGO,96.5,0.24723461592717247,0.3708519238907587
TRIGO,53.5,0.23150050532138,0.34725075798207
TRIGO,58.0,0.3401474158494575,0.5102211237741863
TRIGO,22.0,0.2941155537973797,0.44117333069606957
TRIGO,33.0,0.2582938714409594,0.3874408071614391
TRIGO,22.0,0.31313014513993076,0.46969521770989614
TRIGO,26.9,0.21510769689887677,0.32266154534831515
TRIGO,24.3,0.2580024487499213,0.38700367312488193
TRIGO,73.6,0.2501060924480092,0.3751591386720138
TRIGO,33.4,0.34740936332324934,0.521114044984874
TRIGO,43.3,0.24863631101436617,0.3729544665215493
TRIGO,59.0,0.18920987478248016,0.28381481217372023
TRIGO,31.1,0.31163258238472125,0.46744887357708187
TRIGO,36.4,0.3588517264268856,0.5382775896403285
TRIGO,25.7,0.3558271744238839,0.5337407616358258
TRIGO,42.5,0.14237433663566004,0.21356150495349008
TRIGO,24.7,0.12458218165099923,0.18687327247649885
TRIGO,29.9,0.13187463889086717,0.19781195833630077
TRIGO,35.3,0.1359518848239947,0.20392782723599207
TRIGO,31.8,0.1401973896966504,0.21029608454497561
TRIGO,29.3,0.16837507948436073,0.2525626192265411
TRIGO,47.1,0.2279687025831204,0.3419530538746806
TRIGO,82.3,0.24742324504741853,0.3711348675711278
TRIGO,64.4,0.18380081385341918,0.27570122078012876
TRIGO,31.3,0.2158842006899179,0.32382630103487686
TRIGO,51.6,0.24200530105000131,0.363007951575002
TRIGO,42.7,0.31418633170468185,0.4712794975570228
TRIGO,55.1,0.23248933172544115,0.3487339975881617
TRIGO,69.8,0.26674921825377407,0.4001238273806611
TRIGO,30.1,0.21391420556932123,0.3208713083539818
TRIGO,27.5,0.2881798136522643,0.43226972047839646
TRIGO,24.9,0.190504426781933,0.2857566401728995
TRIGO,42.3,0.19736363473871407,0.2960454521080711
TRIGO,36.9,0.16471899440564672,0.24707849160847006
TRIGO,24.1,0.3030251760264219,0.45453776403963286
TRIGO,28.6,0.27266252372865696,0.40899378559298544
TRIGO,40.5,0.1687240239351268,0.2530860359026902
TRIGO,33.8,0.21756453230527156,0.32634679845790737
TRIGO,53.5,0.3289207926324966,0.49338118894874483
TRIGO,51.7,0.3090724023898176,0.4636086035847264
TRIGO,54.2,0.21667034922002137,0.32500552383003206
TRIGO,31.7,0.2793947988077046,0.41909219821155697
TRIGO,22.7,0.2893247138410584,0.4339870707615876
TRIGO,35.2,0.21000483722792018,0.3150072558418803
TRIGO,62.2,0.15227948075379516,0.22841922113069274
TRIGO,40.4,0.21587082256394816,0.3238062338459222
TRIGO,97.8,0.19716416135996798,0.295746242039952
TRIGO,85.8,0.22673066338634384,0.34009599507951577
TRIGO,39.2,0.2797350939878236,0.4196026409817354
TRIGO,73.0,0.23140961799212195,0.34711442698818296
TRIGO,91.7,0.22350627030579712,0.3352594054586957
TRIGO,74.2,0.2814010134227737,0.4221015201341605
TRIGO,43.8,0.14688747635737298,0.22033121453605947
TRIGO,29.8,0.2163626187078068,0.3245439280617102
TRIGO,23.4,0.41098006690478195,0.6164701003571729
TRIGO,33.9,0.3422363746018611,0.5133545619027917
TRIGO,22.3,0.21991117329167312,0.3298667599375097
TRIGO,22.1,0.28949926941661014,0.43424890412491524
TRIGO,34.2,0.31163258238472125,0.46744887357708187
TRIGO,40.5,0.3588517264268856,0.5382775896403285
TRIGO,29.8,0.2163626187078068,0.3245439280617102
TRIGO,37.5,0.26707121504713754,0.40060682257070634
TRIGO,26.6,0.1254292049885917,0.18814380748288756
TRIGO,24.9,0.18313645013107147,0.2747046751966072
TRIGO,36.8,0.13313459994939866,0.19970189992409798
TRIGO,52.8,0.13706849343792607,0.20560274015688912
TRIGO,35.5,0.22206648690596859,0.3330997303589529
TRIGO,74.1,0.25801439833803363,0.38702159750705045
TRIGO,36.2,0.11261544931909656,0.16892317397864484
TRIGO,49.7,0.12263467526841852,0.18395201290262778
TRIGO,42.2,0.08665099283120818,0.12997648924681227
TRIGO,23.4,0.16151862618472881,0.24227793927709323
TRIGO,44.8,0.26667137213548586,0.4000070582032288
TRIGO,22.0,0.2783732283807389,0.41755984257110834
TRIGO,49.0,0.23700387270743556,0.35550580906115337
TRIGO,38.9,0.20945078892707203,0.31417618339060804
TRIGO,22.8,0.17640102109446543,0.26460153164169814
TRIGO,27.5,0.2327157547517453,0.34907363212761794
TRIGO,44.9,0.276702576749563,0.4150538651243445
